Country,District
Portugal,Águeda
Portugal,Albergaria-a-Velha
Portugal,Anadia
Portugal,Arouca
Portugal,Aveiro
Portugal,Castelo de Paiva
Portugal,Espinho
Portugal,Estarreja
Portugal,Ílhavo
Portugal,Mealhada
Portugal,Murtosa
Portugal,Oliveira do Bairro
Portugal,Ovar
Portugal,Santa Maria da Feira
Portugal,São João da Madeira
Portugal,Sever do Vouga
Portugal,Vagos
Portugal,Vale de Cambra
Portugal,Aljustrel
Portugal,Almodôvar
Portugal,Alvito
Portugal,Barrancos
Portugal,Beja
Portugal,Castro Verde
Portugal,Cuba
Portugal,Ferreira do Alentejo
Portugal,Mértola
Portugal,Moura
Portugal,Odemira
Portugal,Ourique
Portugal,Serpa
Portugal,Vidigueira
Portugal,Amares
Portugal,Barcelos
Portugal,Braga
Portugal,Cabeceiras de Basto
Portugal,Celorico de Basto
Portugal,Esposende
Portugal,Fafe
Portugal,Guimarães
Portugal,Póvoa de Lanhoso
Portugal,Terras de Bouro
Portugal,Vieira do Minho
Portugal,Vila Nova de Famalicão
Portugal,Vila Verde
Portugal,Vizela
Portugal,Alfândega da Fé
Portugal,Bragança
Portugal,Carrazeda de Ansiães
Portugal,Freixo de Espada à Cinta
Portugal,Macedo de Cavaleiros
Portugal,Miranda do Douro
Portugal,Mirandela
Portugal,Mogadouro
Portugal,Torre de Moncorvo
Portugal,Vila Flor
Portugal,Vimioso
Portugal,Vinhais
Portugal,Belmonte
Portugal,Castelo Branco
Portugal,Covilhã
Portugal,Fundão
Portugal,Idanha-a-Nova
Portugal,Oleiros
Portugal,Penamacor
Portugal,Proença-a-Nova
Portugal,Sertã
Portugal,Vila de Rei
Portugal,Vila Velha de Ródão
Portugal,Arganil
Portugal,Cantanhede
Portugal,Coimbra
Portugal,Condeixa-a-Nova
Portugal,Figueira da Foz
Portugal,Góis
Portugal,Lousã
Portugal,Mira
Portugal,Miranda do Corvo
Portugal,Montemor-o-Velho
Portugal,Oliveira do Hospital
Portugal,Pampilhosa da Serra
Portugal,Penacova
Portugal,Penela
Portugal,Soure
Portugal,Tábua
Portugal,Vila Nova de Poiares
Portugal,Alandroal
Portugal,Arraiolos
Portugal,Borba
Portugal,Estremoz
Portugal,Évora
Portugal,Montemor-o-Novo
Portugal,Mora
Portugal,Mourão
Portugal,Portel
Portugal,Redondo
Portugal,Reguengos de Monsaraz
Portugal,Vendas Novas
Portugal,Viana do Alentejo
Portugal,Vila Viçosa
Portugal,Albufeira
Portugal,Alcoutim
Portugal,Aljezur
Portugal,Castro Marim
Portugal,Faro
Portugal,Lagoa
Portugal,Lagos
Portugal,Loulé
Portugal,Monchique
Portugal,Olhão
Portugal,Portimão
Portugal,São Brás de Alportel
Portugal,Silves
Portugal,Tavira
Portugal,Vila do Bispo
Portugal,Vila Real de Santo António
Portugal,Aguiar da Beira
Portugal,Almeida
Portugal,Celorico da Beira
Portugal,Figueira de Castelo Rodrigo
Portugal,Fornos de Algodres
Portugal,Gouveia
Portugal,Guarda
Portugal,Manteigas
Portugal,Mêda
Portugal,Pinhel
Portugal,Sabugal
Portugal,Seia
Portugal,Trancoso
Portugal,Vila Nova de Foz Côa
Portugal,Alcobaça
Portugal,Alvaiázere
Portugal,Ansião
Portugal,Batalha
Portugal,Bombarral
Portugal,Caldas da Rainha
Portugal,Castanheira de Pêra
Portugal,Figueiró dos Vinhos
Portugal,Leiria
Portugal,Marinha Grande
Portugal,Nazaré
Portugal,Óbidos
Portugal,Pedrógão Grande
Portugal,Peniche
Portugal,Pombal
Portugal,Porto de Mós
Portugal,Alenquer
Portugal,Amadora
Portugal,Arruda dos Vinhos
Portugal,Azambuja
Portugal,Cadaval
Portugal,Cascais
Portugal,Lisboa
Portugal,Loures
Portugal,Lourinhã
Portugal,Mafra
Portugal,Odivelas
Portugal,Oeiras
Portugal,Sintra
Portugal,Sobral de Monte Agraço
Portugal,Torres Vedras
Portugal,Vila Franca de Xira
Portugal,Alter do Chão
Portugal,Arronches
Portugal,Avis
Portugal,Campo Maior
Portugal,Castelo de Vide
Portugal,Crato
Portugal,Elvas
Portugal,Fronteira
Portugal,Gavião
Portugal,Marvão
Portugal,Monforte
Portugal,Nisa
Portugal,Ponte de Sor
Portugal,Portalegre
Portugal,Sousel
Portugal,Amarante
Portugal,Baião
Portugal,Felgueiras
Portugal,Gondomar
Portugal,Lousada
Portugal,Maia
Portugal,Marco de Canaveses
Portugal,Matosinhos
Portugal,Paços de Ferreira
Portugal,Paredes
Portugal,Penafiel
Portugal,Porto
Portugal,Póvoa de Varzim
Portugal,Santo Tirso
Portugal,Trofa
Portugal,Valongo
Portugal,Vila do Conde
Portugal,Vila Nova de Gaia
Portugal,Abrantes
Portugal,Alcanena
Portugal,Almeirim
Portugal,Alpiarça
Portugal,Benavente
Portugal,Cartaxo
Portugal,Chamusca
Portugal,Constância
Portugal,Coruche
Portugal,Entroncamento
Portugal,Ferreira do Zêzere
Portugal,Golegã
Portugal,Mação
Portugal,Ourém
Portugal,Rio Maior
Portugal,Salvaterra de Magos
Portugal,Santarém
Portugal,Sardoal
Portugal,Tomar
Portugal,Torres Novas
Portugal,Vila Nova da Barquinha
Portugal,Alcácer do Sal
Portugal,Alcochete
Portugal,Almada
Portugal,Barreiro
Portugal,Grândola
Portugal,Moita
Portugal,Montijo
Portugal,Palmela
Portugal,Santiago do Cacém
Portugal,Seixal
Portugal,Sesimbra
Portugal,Setúbal
Portugal,Sines
Portugal,Arcos de Valdevez
Portugal,Caminha
Portugal,Melgaço
Portugal,Monção
Portugal,Paredes de Coura
Portugal,Ponte da Barca
Portugal,Ponte de Lima
Portugal,Valença
Portugal,Viana do Castelo
Portugal,Vila Nova de Cerveira
Portugal,Alijó
Portugal,Boticas
Portugal,Chaves
Portugal,Mesão Frio
Portugal,Mondim de Basto
Portugal,Montalegre
Portugal,Murça
Portugal,Peso da Régua
Portugal,Ribeira de Pena
Portugal,Sabrosa
Portugal,Santa Marta de Penaguião
Portugal,Valpaços
Portugal,Vila Pouca de Aguiar
Portugal,Vila Real
Portugal,Armamar
Portugal,Carregal do Sal
Portugal,Castro Daire
Portugal,Cinfães
Portugal,Lamego
Portugal,Mangualde
Portugal,Moimenta da Beira
Portugal,Mortágua
Portugal,Nelas
Portugal,Oliveira de Frades
Portugal,Penalva do Castelo
Portugal,Penedono
Portugal,Resende
Portugal,Santa Comba Dão
Portugal,São João da Pesqueira
Portugal,São Pedro do Sul
Portugal,Sátão
Portugal,Sernancelhe
Portugal,Tabuaço
Portugal,Tarouca
Portugal,Tondela
Portugal,Vila Nova de Paiva
Portugal,Viseu
Portugal,Vouzela
Moçambique,Ancuabe
Moçambique,Balama
Moçambique,Chiúre
Moçambique,Ibo
Moçambique,Macomia
Moçambique,Mecúfi
Moçambique,Meluco
Moçambique,Metuge
Moçambique,Mocimboa da Praia
Moçambique,Montepuez
Moçambique,Mueda
Moçambique,Muidumbe
Moçambique,Namuno
Moçambique,Nangade
Moçambique,Palma
Moçambique,Pemba
Moçambique,Metuge
Moçambique,Quissanga
Moçambique,Angoche
Moçambique,Eráti
Moçambique,Ilha de Moçambique
Moçambique,Lalaua
Moçambique,Larde
Moçambique,Liúpo
Moçambique,Malema
Moçambique,Meconta
Moçambique,Mecubúri
Moçambique,Memba
Moçambique,Mogincual
Moçambique,Mogovolas
Moçambique,Moma
Moçambique,Monapo
Moçambique,Mossuril
Moçambique,Muecate
Moçambique,Murrupula
Moçambique,Nacala Porto
Moçambique,Nacala-a-velha
Moçambique,Nacarôa
Moçambique,Nampula
Moçambique,Rapale
Moçambique,Ribáuè
Moçambique,Vanduzi
Moçambique,Chimbonila
Moçambique,Cuamba
Moçambique,Lago
Moçambique,Lichinga
Moçambique,Majune
Moçambique,Mandimba
Moçambique,Marrupa
Moçambique,Maúa
Moçambique,Mavago
Moçambique,Mecanhelas
Moçambique,Mecula
Moçambique,Metarica
Moçambique,Muembe
Moçambique,N'gauma
Moçambique,Nipepe
Moçambique,Sanga
Moçambique,Chinde
Moçambique,Gilé
Moçambique,Gurué
Moçambique,Ile
Moçambique,Inhassunge
Moçambique,Luabo
Moçambique,Lugela
Moçambique,Maganja da Costa
Moçambique,Milange
Moçambique,Mocuba
Moçambique,Mocubela
Moçambique,Molumbo
Moçambique,Mopeia
Moçambique,Morrumbala
Moçambique,Mulevala
Moçambique,Namacurra
Moçambique,Namarroi
Moçambique,Nicoadala
Moçambique,Pebane
Moçambique,Quelimane
Moçambique,Alto Molócue
Moçambique,Angónia
Moçambique,Cahora-Bassa
Moçambique,Changara
Moçambique,Chifunde
Moçambique,Chiuta
Moçambique,Macanga
Moçambique,Magoé
Moçambique,Marara
Moçambique,Marávia
Moçambique,Moatize
Moçambique,Mutarara
Moçambique,Tete
Moçambique,Tsangano
Moçambique,Zumbo
Moçambique,Beira
Moçambique,Búzi
Moçambique,Caia
Moçambique,Chemba
Moçambique,Cheringoma
Moçambique,Chibabava
Moçambique,Dondo
Moçambique,Gorongosa
